State,Temperature (°C),Date,Place name,Station no.,Latitude,Longitude
WA ,50.7,13-Jan-22,Onslow Airport,5017,−21.67,115.11
SA ,50.7,2-Jan-60,Oodnadatta Airport,17043,−27.56,135.45
NSW ,50.1,11-Jan-39,Wilcannia Post Office,46043,−31.56,143.37
Qld. ,49.5,24-Dec-72,Birdsville Police Station,38002,−25.90,139.35
Vic. ,48.8,7-Feb-09,Hopetoun Airport,77010,−35.72,142.36
NT ,48.3,2-Jan-60,Finke Post Office,15526,−25.58,134.57
,48.3,1-Jan-60,Finke Post Office,15526,−25.58,134.57
Tas. ,42.2,30-Jan-09,Scamander,92094,−41.46,148.26
